tags:JWW_FGB75_Grammar
What is the First Person Singular form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δω-μι
What is the Second Person Singular form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δω-ς
What is the Third Person Singular form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δω-σι
What is the Second Person Dual form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δο-τον
What is the Third Person Dual form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δο-τον
What is the First Person Plural form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δο-μεν
What is the Second Person Plural form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δο-τε
What is the Third Person Plural form of the Present Active Indicative of δίδωμι (δο) GIVE?	δι-δό-ᾶσι
What is the First Person Singular form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-μαι
What is the Second Person Singular form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-σαι
What is the Third Person Singular form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-ται
What is the Second Person Dual form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-σθον
What is the Third Person Dual form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-σθον
What is the First Person Plural form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δι-δό-μεθα
What is the Second Person Plural form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-σθε
What is the Third Person Plural form of the Present Middle and Passive Indicative of δίδωμι (δο) GIVE?	δί-δο-νται
What is the First Person Singular form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δουν
What is the Second Person Singular form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δους
What is the Third Person Singular form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δου
What is the Second Person Dual form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-τον
What is the Third Person Dual form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δι-δό-την
What is the First Person Plural form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-μεν
