tags:JWW_FGB77_Grammar
What is the First Person Singular form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νῡ-μι
What is the Second Person Singular form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νῡ-ς
What is the Third Person Singular form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νῡ-σι
What is the Second Person Dual form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-τον
What is the Third Person Dual form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-τον
What is the First Person Plural form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-μεν
What is the Second Person Plural form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-τε
What is the Third Person Plural form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δεικ-νύ-ᾱσι
What is the First Person Singular form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-μαι
What is the Second Person Singular form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-σαι
What is the Third Person Singular form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-ται
What is the Second Person Dual form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-σθον
What is the Third Person Dual form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-σθον
What is the First Person Plural form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δεικ-νύ-μεθα
What is the Second Person Plural form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-σθε
What is the Third Person Plural form of the Present Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νυ-νται
What is the First Person Singular form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νῡ-ν
What is the Second Person Singular form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νῡ-ς
What is the Third Person Singular form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νῡ
What is the Second Person Dual form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-τον
What is the Third Person Dual form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δεικ-νύ-την
What is the First Person Plural form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-μεν
What is the Second Person Plural form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-τε
What is the Third Person Plural form of the Imperfect Active Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-σαν
What is the First Person Singular form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δεικ-νύ-μην
What is the Second Person Singular form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-σο
What is the Third Person Singular form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-το
What is the Second Person Dual form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-σθον
What is the Third Person Dual form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δεικ-νύ-σθην
What is the First Person Plural form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δεικ-νύ-μεθα
What is the Second Person Plural form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-σθε
What is the Third Person Plural form of the Imperfect Middle and Passive Indicative of δείκνῡμι (δεικ) SHOW?	ἐ-δείκ-νυ-ντο
What is the First Person Singular form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύω
What is the Second Person Singular form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύῃς
What is the Third Person Singular form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύῃ
What is the Second Person Dual form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύητον
What is the Third Person Dual form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύητον
What is the First Person Plural form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύωμεν
What is the Second Person Plural form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύητε
What is the Third Person Plural form of the Present Active Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύωσι
What is the First Person Singular form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύωμαι
What is the Second Person Singular form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύῃ
What is the Third Person Singular form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύηται
What is the Second Person Dual form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύησθον
What is the Third Person Dual form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύησθον
What is the First Person Plural form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνυώμεθα
What is the Second Person Plural form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύησθε
What is the Third Person Plural form of the Present Middle and Passive Subjunctive of δείκνῡμι (δεικ) SHOW?	δεικνύωνται
What is the First Person Singular form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοιμι
What is the Second Person Singular form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοις
What is the Third Person Singular form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοι
What is the Second Person Dual form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοιτον
What is the Third Person Dual form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνυοίτην
What is the First Person Plural form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοιμεν
What is the Second Person Plural form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοιτε
What is the Third Person Plural form of the Present Active of δείκνῡμι (δεικ) SHOW?	δεικνύοιεν
What is the First Person Singular form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνυοίμην
What is the Second Person Singular form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνύοιο
What is the Third Person Singular form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνύοιτο
What is the Second Person Dual form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνύοισθον
What is the Third Person Dual form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνυοίσθην
What is the First Person Plural form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνυοίμεθα
What is the Second Person Plural form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνύοισθε
